1260,703,11
1264,132,4
1265,158,12
1266,206,14
1267,314,42
1274,486,47
1275,88,9
1276,132,13
1277,2528,87
1279,717,39
1280,783,7
1281,354,4
1282,1809,18
1283,255,5
1285,255,5
1286,499,12
1287,536,12
1288,232,3
1289,232,3
1290,190,3
1291,190,3
1292,65,1
1293,332,5
1294,424,7
1296,332,5
1297,102,10
1298,1155,59
1299,56,4
1300,118,0
1301,717,21
1302,501,13
1303,62,0
1304,401,6
1307,28,0
1308,28,0
1311,167,0
1312,380,4
1313,380,4
1314,177,1
1315,279,5
1316,268,5
1318,232,3
1319,1140,9
1323,157,14
1324,128,8
1325,128,8
1326,978,8
1328,137,4
1329,137,4
1332,137,4
1334,47,2
1335,137,4
1339,130,0
1343,154,0
1344,140,0
1345,96,0
1346,104,2
1352,524,23
1353,366,3
1354,367,3
1355,270,1
1357,842,4
1358,842,4
1359,873,3
1360,26,0
1361,26,0
1362,26,0
1366,468,21
1367,31,1
1368,15,1
1370,281,10
1371,319,11
1372,270,10
1377,66,2
1378,34,0
1389,262,1
1390,26,1
1391,45,0
1393,144,0
1395,136,1
1396,16,0
1397,10,0
1398,43,0
1402,337,2
1403,337,2
1404,177,1
1405,401,3
1406,400,4
1407,128,8
1409,128,8
1411,15,1
1412,31,1
1413,31,1
1414,31,1
1415,48,2
1416,48,2
1417,31,1
1418,31,1
1420,31,1
1425,28,2
1429,177,1
1435,27,0
1436,27,0
1437,27,0
1438,332,5
1447,118,5
1450,91,5
1463,231,7
1464,56,2
1468,203,1
1469,1365,31
1471,233,3
1472,227,3
1473,237,4
1474,339,14
1479,128,8
1481,321,20
1482,263,28
1487,43,0
1488,43,0
1490,43,0
1491,43,0
1492,47,2
1493,137,4
1494,137,4
1496,233,9
1497,380,4
1503,56,2
1506,321,20
1514,128,8
1517,387,4
1519,189,4
1520,71,1
1521,224,6
1524,287,5
1526,61,0
1527,57,0
1529,163,2
1700,116,0
1702,27,0
1705,43,0
1706,76,0
1713,43,0
1714,43,0
1719,145,4
1732,19,0
1735,65,0
1746,100,0
1748,190,0
1749,20,0
1765,90,0
1766,44,0
1767,136,1
1778,22,0
1779,19,0
1800,59,1
